# (c) 2013-2016, Tomás Oliveira e Silva
#
# See disclaimer in page
#   http://sweet.ua.pt/tos/hobbies.html
#
# Do not bookmark this page, because its URI may change
# in the future. Instead, bookmark its parent page:
#   http://sweet.ua.pt/tos/twin_gaps.html
#
# Count limit --- 1e16
#   g  is the gap between twin prime pairs
# F(g) is the least prime of the first twin prime
#      pair of the first occurrence of a gap of g
# T(g) is the number of times a gap of g occurs
#      with the last prime of the second prime pair
#      of a gap smaller than 1e16
# An * marks a record-holder; g is a record-holder
#      if F(u) > F(g) for all u > g; F(g) is a
#      record-holder if F(u) < F(g) for all u < g
#
# Last update made on August 5, 2013

    g             F(g)           T(g)
 4086        4036002431     496664715
 4092        2644126097    1045233260
 4098        5140773959     743686978
 4104        6400483007     533380901
 4110         775951661    1217415702
 4116        2173044821     763856989
 4122        2742344159     708676364
 4128        4342366979     997889193
 4134        3018573317     504185312
 4140        2778374189    1232433306
 4146        3812140511     516494541
 4152        2878895189     733937631
 4158        1448911829    1600196910
 4164        6702037337     335453092
 4170        2277267581    1361901613
 4176        8479208051     358087385
 4182        4427452697     976980526
 4188         949588721    1019780805
 4194       17714067737*    328578380
 4200        1598054231    1842290103
 4206        1601593241     320963435
 4212        3113846387    1061558931
 4218        6595755191     840024780
 4224        1344819167     400408083
 4230        7705191647    1370456420
 4236        5277479951     368414767
 4242        5026342019    1062299599
 4248         979375169     775651673
 4254        1535220497     432201547
 4260         703191659     924682565
 4266        5886191921     409335416
 4272        2843850407     825259872
 4278        1516024121     714728851
 4284        3111131477     565927308
 4290        1690627151    1486368627
 4296        4582381871     419537089
 4302        7165844909     590942872
 4308        2745383789     584517154
 4314        4612698887     487051321
 4320        8584074179     925209419
 4326       17890226111*    515861502
 4332        6451367759     722399989
 4338        3873357599     783198633
 4344        6555925637     324640410
 4350        7653112799     967124234
 4356        2433892271     471659254
 4362        9161561369     552862181
 4368        7543758851    1291027653
 4374        6681952307     267979181
 4380        1980164729    1261251563
 4386        9256801031     320013622
 4392       11261028929     611178772
 4398        4011720959     798711224
 4404        8614262597     277311421
 4410        4548211121    1426605724
 4416        2763772511     286240638
 4422        8833620569    1089010876
 4428        5943144071     523561840
 4434       13644771197     252135003
 4440        4001348159    1057549928
 4446        4792163021     396420672
 4452        3173093477     937345673
 4458        9756571169     485392408
 4464       12162387317     436870123
 4470        8930478899     832333634
 4476       18146474051*    243226481
 4482        6724937717     706606771
 4488        6715524041     701007690
 4494       10975578077     402697286
 4500        1856846987     778183425
